library,os_type,library_type,crypto_dependency,algorithm,primitive,key_size,detection_method
/usr/lib/x86_64-linux-gnu/gconv/CP1250.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP1251.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP1252.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP1253.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP1254.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP1255.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP1256.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP1257.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP1258.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP737.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP770.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP771.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP772.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP773.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP774.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP775.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP932.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CSN_369103.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CWI.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/DEC-MCS.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-AT-DE-A.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-AT-DE.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-CA-FR.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-DK-NO-A.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-DK-NO.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-ES-A.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-ES-S.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-ES.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-FI-SE-A.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-FI-SE.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-FR.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-IS-FRISS.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-IT.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-PT.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-UK.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EBCDIC-US.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/ECMA-CYRILLIC.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EUC-CN.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EUC-JISX0213.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EUC-JP-MS.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EUC-JP.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EUC-KR.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/EUC-TW.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/GB18030.so,unix,shared,none,SSL,protocol,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/gconv/GBBIG5.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/GBGBK.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/GBK.so,unix,shared,none,SSL,protocol,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/gconv/GEORGIAN-ACADEMY.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/GEORGIAN-PS.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/GOST_19768-74.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/GREEK-CCITT.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/GREEK7-OLD.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/GREEK7.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/HP-GREEK8.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/HP-ROMAN8.so,unix,shared,none,unknown,unknown,unknown,static-string
